,Unnamed: 0.1,Unnamed: 0,name_hp,longName,CASNumber,agentType,materialType,units,gasDepVelocity,gasDepVelocity_units,antoine_a_hp,antoine_a_units,antoine_b_hp,antoine_b_units,antoine_c_hp,antoine_c_units,liquidDensity_a,liquidDensity_a_units,liquidDensity_b,liquidDensity_b_units,molecularWeight,molecularWeight_units,agent_key,version,agent_type,name_fp,standard_code,description,molecular_weight,molecular_volume,boiling_point,freezing_point,antoine_a_fp,antoine_b_fp,antoine_c_fp,inst_aerosol_present,skin_factor,liquid_density,placard_number,from,name,antoine_a,antoine_b,antoine_c
36,36,71.0,DIMTHYLAM,Dimethylamine,124-40-3,IND,Liquid,kg,0.003,m/s,7.1688,log(Torr),995.445,C-log(Torr),225.281,C,650.17,kg/m^3,1.51,/K,45.08,amu,1160.0,0.0,TIC,Dimethylamine,124-40-3,gas at ordinary temperature; very soluble in water,45.08,66.25514403,6.9,-92.2,7.16881,995.445,225.281,False,,0.6804,1160.0,hp,Dimethylamine,7.1688,995.445,225.281
37,37,73.0,edc,"1,2 Dichloroethane",107-06-2,IND,Liquid,kg,0.0,m/s,7.46,log(Torr),1522.0,C-log(Torr),248.4,C,1246.0,kg/m^3,0.0,/K,98.96,amu,1199.0,0.0,TIC,Ethylene dichloride,107-06-2,heavy liquid; pleasant odor; burns with smoky flame,98.96,80.12306696,83.4,-35.7,7.46028,1521.789,248.48,False,,1.2351,1184.0,hp,Ethylene dichloride,7.46,1522.0,248.4
38,38,74.0,ethdibr,Ethylene Dibromide,106-93-4,IND,Liquid,kg,0.003,m/s,6.5,log(Torr),1198.102,C-log(Torr),200.0,C,1967.97,kg/m^3,1.989,/K,187.861,amu,1198.0,0.0,TIC,Ethylene dibromide,106-93-4,heavy liquid; chloroform odor,187.86,86.49171271,131.4,9.8,10.24424,4101.146,426.184,False,,2.172,1605.0,hp,Ethylene dibromide,6.5,1198.102,200.0
39,39,76.0,ethyloxi_liq,Liquid Ethylene Oxide,75-21-8,IND,Liquid,kg,0.0,m/s,7.26,log(Torr),1115.38,C-log(Torr),244.14,C,869.0,kg/m^3,0.0,/K,44.052,amu,1204.0,0.0,TIC,Ethylene oxide,75-21-8,flammable gas or liquid; explosive,44.05,49.94331066,10.5,-112.5,8.72206,2022.83,335.806,False,,0.882,1040.0,hp,Ethylene oxide,7.26,1115.38,244.14
40,40,80.0,formalde_liq,Liquid Formaldehyde,50-00-0,IND,Liquid,kg,0.0,m/s,7.16,log(Torr),959.67,C-log(Torr),243.39,C,763.1,kg/m^3,1.6,/K,30.026,amu,,,,,,,,,,,,,,,,,,hp,formalde_liq,7.16,959.67,243.39
41,41,81.0,ga,Tabun,77-81-6,CHM,Liquid,kg,0.003,m/s,6.80011,log(Torr),1700.59,C-log(Torr),186.4,C,1099.9,kg/m^3,0.99,/K,162.1,amu,1.0,1.0,CSEPP,GA,77-81-6,Tabun,162.18,188.0,244.85,-50.0,8.305,-2820.0,273.0,False,,1.07,,hp,GA,6.80011,1700.59,186.4
42,42,201.0,tga,thickened tabun,77-81-6,CHM,Liquid,kg,0.01,m/s,6.80011,log(Torr),1700.59,C-log(Torr),186.4,C,1099.9,kg/m^3,0.99,/K,162.1,amu,1.0,1.0,CSEPP,GA,77-81-6,Tabun,162.18,188.0,244.85,-50.0,8.305,-2820.0,273.0,False,,1.07,,hp,GA,6.80011,1700.59,186.4
43,43,82.0,gb,Sarin,107-44-8,CHM,Liquid,kg,0.003,m/s,7.4816,log(Torr),1773.82,C-log(Torr),227.9,C,1118.2,kg/m^3,1.18,/K,140.1,amu,2.0,1.0,CSEPP,GB,107-44-8,Sarin,140.1,150.3,157.85,-56.0,8.5916,-2424.5,273.0,False,,1.1,,hp,GB,7.4816,1773.82,227.9
44,44,83.0,gd,Soman,96-64-0,CHM,Liquid,kg,0.005,m/s,7.4706,log(Torr),1903.1,C-log(Torr),216.9,C,1045.6,kg/m^3,0.93,/K,182.2,amu,,,,,,,,,,,,,,,,,,hp,gd,7.4706,1903.1,216.9
45,45,202.0,tgd,Thickened Soman,96-64-0,CHM,Liquid,kg,0.01,m/s,7.4706,log(Torr),1903.1,C-log(Torr),216.9,C,1045.6,kg/m^3,0.93,/K,182.2,amu,,,,,,,,,,,,,,,,,,hp,tgd,7.4706,1903.1,216.9
46,46,84.0,gf,Cyclohexyl Methylphosphonofluoridate,329-99-7,CHM,Liquid,kg,0.01,m/s,6.5624,log(Torr),1507.3,C-log(Torr),170.4,C,1152.4,kg/m^3,1.0,/K,180.2,amu,,,,,,,,,,,,,,,,,,hp,gf,6.5624,1507.3,170.4
47,47,203.0,tgf,thickened cyclohexyl methylphosphonofluoridate,329-99-7,CHM,Liquid,kg,0.01,m/s,6.5624,log(Torr),1507.3,C-log(Torr),170.4,C,1152.4,kg/m^3,1.0,/K,180.2,amu,,,,,,,,,,,,,,,,,,hp,tgf,6.5624,1507.3,170.4
48,48,85.0,glycine,Glycine,56-40-6,IND,Liquid,kg,0.003,m/s,18.712,log(Torr),7155.9,C-log(Torr),273.16,C,1161.0,kg/m^3,0.0,/K,75.07,amu,,,,,,,,,,,,,,,,,,hp,glycine,18.712,7155.9,273.16
49,49,88.0,hbr_liq,Liquid Hydrogen Bromide,10035-10-6,IND,Liquid,kg,0.0,m/s,7.03,log(Torr),755.16,C-log(Torr),248.06,C,4093.0,kg/m^3,0.76,/K,80.912,amu,1242.0,0.0,TIC,Hydrogen bromide,10035-10-6,"colorless, corrosive, nonflammable gas; acrid odor; fumes in moist air",80.91,,-66.7,-86.8,7.03095,754.969,248.064,False,,,1048.0,hp,Hydrogen bromide,7.03,755.16,248.06
50,50,90.0,hcfuel,Hydrocarbon Fuel,112-40-3,IND,Liquid,kg,0.0,m/s,7.109,log(Torr),2061.173,C-log(Torr),270.112,C,820.0,kg/m^3,1.1195,/K,170.33,amu,,,,,,,,,,,,,,,,,,hp,hcfuel,7.109,2061.173,270.112
51,51,92.0,hcl_liq,Liquid Hydrogen Chloride,7647-01-0,C&I,Liquid,kg,0.0,m/s,7.45,log(Torr),868.58,C-log(Torr),271.4,C,769.6,kg/m^3,4.64,/K,36.461,amu,1243.0,0.0,TIC,Hydrogen chloride,7647-01-0,"colorless, corrosive, nonflammable gas; pungent odor",36.46,,-85.0,-114.2,7.44899,868.358,274.904,False,,,1050.0,hp,Hydrogen chloride,7.45,868.58,271.4
52,52,93.0,hcn,"Hydrogen Cyanide (AC, HCN)",74-90-8,C&I,Liquid,kg,0.003,m/s,7.7446,log(Torr),1453.1,C-log(Torr),273.0,C,681.07,kg/m^3,0.0,/K,27.026,amu,1244.0,0.0,TIC,Hydrogen cyanide,74-90-8,'',27.03,39.34497817,25.7,-13.2,7.54927,1340.791,261.558,False,,0.687,1051.0,hp,Hydrogen cyanide,7.7446,1453.1,273.0
53,53,94.0,hd,Mustard,505-60-2,CHM,Liquid,kg,0.01,m/s,7.475,log(Torr),1935.47,C-log(Torr),204.2,C,1295.4,kg/m^3,1.07,/K,159.1,amu,3.0,1.0,CSEPP,HD,505-60-2,Distilled mustard,159.1,149.7,216.85,14.45,7.47009,-1935.47,204.2,False,,1.27,,hp,HD,7.475,1935.47,204.2
54,54,204.0,thd,Thickened Sulfur Mustard,505-60-2,CHM,Liquid,kg,0.01,m/s,7.475,log(Torr),1935.47,C-log(Torr),204.2,C,1295.4,kg/m^3,1.07,/K,159.1,amu,3.0,1.0,CSEPP,HD,505-60-2,Distilled mustard,159.1,149.7,216.85,14.45,7.47009,-1935.47,204.2,False,,1.27,,hp,HD,7.475,1935.47,204.2
55,55,96.0,hf_liq,Liquid Hydrogen Fluoride,7664-39-3,IND,Liquid,kg,0.0,m/s,7.43,log(Torr),1332.1,C-log(Torr),273.15,C,965.5,kg/m^3,2.67,/K,20.006,amu,1245.0,0.0,TIC,Hydrogen fluoride,7664-39-3,colorless gas or liquid; intensely poisonous,20.01,20.19172553,19.5,-83.4,7.7899,1556.559,297.349,False,,0.991,1052.0,hp,Hydrogen fluoride,7.43,1332.1,273.15
56,56,97.0,hn1,HN1 Nitrogen Mustard,538-07-8,CHM,Liquid,kg,0.01,m/s,9.0566,log(Torr),2885.01,C-log(Torr),273.15,C,1090.0,kg/m^3,0.0,/K,170.08,amu,,,,,,,,,,,,,,,,,,hp,hn1,9.0566,2885.01,273.15
57,57,98.0,hn2,HN2 Nitrogen Mustard,51-75-2,CHM,Liquid,kg,0.01,m/s,55.8468,log(Torr),98925.55,C-log(Torr),1734.47,C,1150.0,kg/m^3,0.0,/K,156.07,amu,,,,,,,,,,,,,,,,,,hp,hn2,55.8468,98925.55,1734.47
58,58,99.0,hn3,HN3 Nitrogen Mustard,555-77-1,CHM,Liquid,kg,0.01,m/s,8.55297,log(Torr),2856.46,C-log(Torr),246.4,C,1240.0,kg/m^3,0.0,/K,204.56,amu,,,,,,,,,,,,,,,,,,hp,hn3,8.55297,2856.46,246.4
59,59,102.0,hse_liq,Liquid Hydrogen Selenide,7783-07-5,IND,Liquid,kg,0.0,m/s,6.49,log(Torr),596.64,C-log(Torr),206.8,C,1503.9,kg/m^3,6.73,/K,80.98,amu,,,,,,,,,,,,,,,,,,hp,hse_liq,6.49,596.64,206.8
60,60,103.0,hs_liq,Liquid Hydrogen Sulfide,7783-06-4,IND,Liquid,kg,0.0,m/s,7.31,log(Torr),829.65,C-log(Torr),247.74,C,642.8,kg/m^3,3.49,/K,34.082,amu,,,,,,,,,,,,,,,,,,hp,hs_liq,7.31,829.65,247.74
61,61,104.0,hydrazine,Hydrazine,302-01-2,IND,Liquid,kg,0.0,m/s,8.85,log(Torr),2328.54,C-log(Torr),273.15,C,994.6,kg/m^3,2.17,/K,34.082,amu,,,,,,,,,,,,,,,,,,hp,hydrazine,8.85,2328.54,273.15
62,62,105.0,hydroxnit,Hydroxylamine Nitrate,13465-08-2,IND,Liquid,kg,0.003,m/s,9.8099,log(Torr),2472.17,C-log(Torr),273.16,C,1180.0,kg/m^3,0.0,/K,31.58,amu,,,,,,,,,,,,,,,,,,hp,hydroxnit,9.8099,2472.17,273.16
63,63,108.0,ironpetl,Iron Pentacarbonyl,13463-40-6,IND,Liquid,kg,0.003,m/s,6.327,log(Torr),1044.258,C-log(Torr),200.0,C,1000.0,kg/m^3,0.0,/K,195.896,amu,,,,,,,,,,,,,,,,,,hp,ironpetl,6.327,1044.258,200.0
64,64,109.0,isoprop,Isopropylamine,75-31-0,IND,Liquid,kg,0.003,m/s,6.89,log(Torr),985.65,C-log(Torr),214.081,C,687.9,kg/m^3,0.0,/K,59.11,amu,1272.0,0.0,TIC,Isopropylamine,75-31-0,"colorless, flammable liquid; ammonia odor; strong base",59.11,85.17291066,31.8,-95.2,6.89017,985.65,214.071,False,,0.694,1221.0,hp,Isopropylamine,6.89,985.65,214.081
65,65,110.0,ISOPROPANOL,Isopropanol,67-63-0,IND,Liquid,kg,0.003,m/s,7.7413,log(Torr),1360.13,C-log(Torr),197.592,C,781.49,kg/m^3,0.9871,/K,60.1,amu,1269.0,0.0,TIC,Isopropanol,67-63-0,flammable liquid,60.1,76.5556334,82.3,-87.9,7.7361,1357.427,197.336,False,,0.78505,1219.0,hp,Isopropanol,7.7413,1360.13,197.592
66,66,111.0,lewisite,Lewisite,541-25-3,CHM,Liquid,kg,0.01,m/s,6.404,log(Torr),1237.03,C-log(Torr),155.2,C,1921.0,kg/m^3,1.67,/K,207.32,amu,5.0,1.0,CSEPP,L,541-25-3,Lewisite,207.35,130.1,189.85,-18.0,6.40361,-1237.04,155.2,False,,1.88,,hp,L,6.404,1237.03,155.2
67,67,113.0,malathion,Malathion,121-75-5,IND,Liquid,kg,0.003,m/s,10.0536,log(Torr),4381.0,C-log(Torr),273.0,C,1230.0,kg/m^3,0.0,/K,330.4,amu,,,,,,,,,,,,,,,,,,hp,malathion,10.0536,4381.0,273.0
68,68,114.0,methane,LNG (Methane),74-82-8,C&I,Liquid,kg,0.3,m/s,6.745,log(Torr),410.92,C-log(Torr),267.45,C,422.4,kg/m^3,0.0,/K,16.04,amu,1283.0,0.0,TIC,Methane,74-82-8,"colorless, odorless, flammable gas",16.04,,-161.5,-182.5,0.0,0.0,0.0,False,,,1971.0,hp,Methane,6.745,410.92,267.45
69,69,115.0,methanol,Methyl Alcohol,67-56-1,IND,Liquid,kg,0.0,m/s,8.07294,log(Torr),1581.341,C-log(Torr),239.66,C,791.4,kg/m^3,0.9259,/K,32.04,amu,1284.0,0.0,TIC,Methanol,67-56-1,"flammable, poisonous, mobile liquid",32.04,40.73226545,64.7,-97.7,8.07919,1581.341,239.65,False,,0.7866,1230.0,hp,Methanol,8.07294,1581.341,239.66
70,70,116.0,methclfo,Methyl Chloroformate,79-22-1,IND,Liquid,kg,0.003,m/s,3.576,log(Torr),188.486,C-log(Torr),200.0,C,1215.0,kg/m^3,0.0,/K,94.497,amu,,,,,,,,,,,,,,,,,,hp,methclfo,3.576,188.486,200.0
